COUNTRY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Upper middle income,14.01895863,,,,,12.82487048,,,,,11.43619187,,,,,10.07937758,9.968196217,,
Uruguay,17.4,,,,,15.3,,,,,16.6,,,,,19.4,18.4,,
United States,11.3,,,,,11.9,,,,,13.2,,,,,15,15.3,,
Uzbekistan,7.6,,,,,5.8,,,,,6,,,,,7.4,7.4,,
St. Vincent and the Grenadines,6.3,,,,,9.9,,,,,3.3,,,,,2.7,2.4,,
"Venezuela, RB",8,,,,,5.9,,,,,4.3,,,,,3.8,3.7,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,
Vietnam,6.7,,,,,6.7,,,,,7,,,,,7.2,7.3,,
Vanuatu,7.3,,,,,5.7,,,,,5.1,,,,,4.5,4.5,,
World,12.87959448,,,,,12.31778182,,,,,11.48043708,,,,,10.75233895,10.63962746,,
Samoa,8.3,,,,,6.5,,,,,5,,,,,4.5,4.4,,
Kosovo,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",6.8,,,,,8.1,,,,,8.8,,,,,8.6,8.5,,
South Africa,11.6,,,,,11.8,,,,,12.2,,,,,11.8,11.6,,
Zambia,8.1,,,,,6.5,,,,,6.3,,,,,6.1,6.1,,
Zimbabwe,12.9,,,,,13.9,,,,,11.9,,,,,10.6,10.7,,
